Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
02-May-2018_14:20:34 Prac 7302 22 female R 1 1 1 immoralSelf immoralSelf match m NA -1 1.0420 
02-May-2018_14:20:37 Prac 7302 22 female R 1 1 2 immoralSelf moralOther mismatch n n 1 1.0057 
02-May-2018_14:20:39 Prac 7302 22 female R 1 1 3 immoralOther immoralOther match m n 0 0.7838 
02-May-2018_14:20:41 Prac 7302 22 female R 1 1 4 moralSelf immoralOther mismatch n n 1 0.8379 
02-May-2018_14:20:43 Prac 7302 22 female R 1 1 5 immoralOther immoralOther match m m 1 0.8561 
02-May-2018_14:20:46 Prac 7302 22 female R 1 1 6 moralSelf immoralSelf mismatch n NA -1 1.0420 
02-May-2018_14:20:48 Prac 7302 22 female R 1 1 7 moralSelf moralSelf match m m 1 0.8743 
02-May-2018_14:20:50 Prac 7302 22 female R 1 1 8 immoralSelf moralSelf mismatch n n 1 0.6224 
02-May-2018_14:20:52 Prac 7302 22 female R 1 1 9 immoralOther immoralOther match m n 0 0.5646 
02-May-2018_14:20:54 Prac 7302 22 female R 1 1 10 immoralSelf moralOther mismatch n m 0 0.9026 
02-May-2018_14:20:56 Prac 7302 22 female R 1 1 11 moralOther moralSelf mismatch n n 1 0.6928 
02-May-2018_14:20:59 Prac 7302 22 female R 1 1 12 immoralOther moralOther mismatch n m 0 0.8130 
02-May-2018_14:21:01 Prac 7302 22 female R 1 1 13 immoralOther moralSelf mismatch n n 1 0.8931 
02-May-2018_14:21:03 Prac 7302 22 female R 1 1 14 moralOther moralOther match m n 0 0.7491 
02-May-2018_14:21:06 Prac 7302 22 female R 1 1 15 immoralOther moralSelf mismatch n n 1 1.0253 
02-May-2018_14:21:08 Prac 7302 22 female R 1 1 16 moralOther moralOther match m m 1 0.7354 
02-May-2018_14:21:10 Prac 7302 22 female R 1 1 17 moralSelf immoralSelf mismatch n NA -1 1.0420 
02-May-2018_14:21:12 Prac 7302 22 female R 1 1 18 moralSelf moralSelf match m m 1 0.6417 
02-May-2018_14:21:14 Prac 7302 22 female R 1 1 19 immoralSelf immoralSelf match m n 0 0.8438 
02-May-2018_14:21:16 Prac 7302 22 female R 1 1 20 moralOther moralSelf mismatch n n 1 0.7661 
02-May-2018_14:21:19 Prac 7302 22 female R 1 1 21 immoralSelf immoralSelf match m m 1 0.8640 
02-May-2018_14:21:21 Prac 7302 22 female R 1 1 22 moralOther moralOther match m m 1 0.8382 
02-May-2018_14:21:23 Prac 7302 22 female R 1 1 23 moralSelf moralSelf match m n 0 0.7043 
02-May-2018_14:21:25 Prac 7302 22 female R 1 1 24 moralOther immoralOther mismatch n n 1 0.7745 
02-May-2018_14:21:28 Prac 7302 22 female R 1 2 1 immoralSelf moralSelf mismatch n n 1 0.9765 
02-May-2018_14:21:30 Prac 7302 22 female R 1 2 2 moralOther moralOther match m m 1 0.7527 
02-May-2018_14:21:32 Prac 7302 22 female R 1 2 3 moralOther moralSelf mismatch n m 0 0.6768 
02-May-2018_14:21:34 Prac 7302 22 female R 1 2 4 immoralOther moralOther mismatch n n 1 0.7850 
02-May-2018_14:21:36 Prac 7302 22 female R 1 2 5 moralOther moralOther match m m 1 0.6230 
02-May-2018_14:21:38 Prac 7302 22 female R 1 2 6 moralOther moralSelf mismatch n n 1 0.7331 
02-May-2018_14:21:40 Prac 7302 22 female R 1 2 7 moralOther immoralSelf mismatch n n 1 0.9653 
02-May-2018_14:21:43 Prac 7302 22 female R 1 2 8 immoralOther immoralOther match m n 0 0.8314 
02-May-2018_14:21:45 Prac 7302 22 female R 1 2 9 immoralSelf immoralOther mismatch n m 0 0.8115 
02-May-2018_14:21:47 Prac 7302 22 female R 1 2 10 immoralOther moralOther mismatch n n 1 0.9316 
02-May-2018_14:21:50 Prac 7302 22 female R 1 2 11 moralSelf moralSelf match m n 0 1.0118 
02-May-2018_14:21:52 Prac 7302 22 female R 1 2 12 moralSelf moralSelf match m m 1 0.6119 
02-May-2018_14:21:54 Prac 7302 22 female R 1 2 13 immoralOther moralOther mismatch n n 1 0.8760 
02-May-2018_14:21:56 Prac 7302 22 female R 1 2 14 moralSelf immoralSelf mismatch n NA -1 1.0420 
02-May-2018_14:21:58 Prac 7302 22 female R 1 2 15 moralOther moralOther match m m 1 0.7063 
02-May-2018_14:22:01 Prac 7302 22 female R 1 2 16 moralSelf moralSelf match m m 1 0.8324 
02-May-2018_14:22:03 Prac 7302 22 female R 1 2 17 immoralOther immoralOther match m n 0 0.8606 
02-May-2018_14:22:05 Prac 7302 22 female R 1 2 18 moralSelf moralOther mismatch n n 1 0.8027 
02-May-2018_14:22:07 Prac 7302 22 female R 1 2 19 moralSelf immoralSelf mismatch n m 0 0.9008 
02-May-2018_14:22:10 Prac 7302 22 female R 1 2 20 immoralSelf immoralSelf match m m 1 0.8349 
02-May-2018_14:22:12 Prac 7302 22 female R 1 2 21 immoralSelf immoralSelf match m m 1 0.7270 
02-May-2018_14:22:14 Prac 7302 22 female R 1 2 22 immoralOther immoralOther match m m 1 0.8971 
02-May-2018_14:22:16 Prac 7302 22 female R 1 2 23 immoralSelf moralOther mismatch n n 1 0.8713 
02-May-2018_14:22:18 Prac 7302 22 female R 1 2 24 immoralSelf immoralSelf match m m 1 0.6835 
Date Prac Sub Age Sex Hand Block Bin Trial Shape Label Match CorrResp Resp ACC RT
02-May-2018_14:40:40 Prac 7302 22 female R 1 1 1 moralOther immoralOther mismatch n n 1 0.6959 
02-May-2018_14:40:42 Prac 7302 22 female R 1 1 2 moralSelf moralSelf match m n 0 0.7820 
02-May-2018_14:40:44 Prac 7302 22 female R 1 1 3 immoralSelf moralOther mismatch n n 1 0.6680 
02-May-2018_14:40:46 Prac 7302 22 female R 1 1 4 moralSelf moralSelf match m m 1 0.6482 
02-May-2018_14:40:48 Prac 7302 22 female R 1 1 5 immoralSelf moralOther mismatch n n 1 0.7043 
02-May-2018_14:40:50 Prac 7302 22 female R 1 1 6 moralOther moralOther match m m 1 0.5984 
02-May-2018_14:40:52 Prac 7302 22 female R 1 1 7 moralOther immoralSelf mismatch n n 1 0.6406 
02-May-2018_14:40:54 Prac 7302 22 female R 1 1 8 moralOther moralOther match m m 1 0.5786 
02-May-2018_14:40:56 Prac 7302 22 female R 1 1 9 immoralSelf immoralSelf match m m 1 0.7288 
02-May-2018_14:40:59 Prac 7302 22 female R 1 1 10 immoralSelf immoralSelf match m m 1 0.7049 
02-May-2018_14:41:00 Prac 7302 22 female R 1 1 11 immoralSelf immoralOther mismatch n n 1 0.5510 
02-May-2018_14:41:03 Prac 7302 22 female R 1 1 12 immoralOther immoralSelf mismatch n n 1 0.9311 
02-May-2018_14:41:05 Prac 7302 22 female R 1 1 13 immoralOther immoralOther match m m 1 0.6513 
02-May-2018_14:41:07 Prac 7302 22 female R 1 1 14 immoralOther moralSelf mismatch n n 1 0.6754 
02-May-2018_14:41:09 Prac 7302 22 female R 1 1 15 immoralOther immoralOther match m m 1 0.6235 
02-May-2018_14:41:11 Prac 7302 22 female R 1 1 16 immoralOther immoralSelf mismatch n n 1 0.7976 
02-May-2018_14:41:14 Prac 7302 22 female R 1 1 17 moralSelf immoralSelf mismatch n NA -1 1.0420 
02-May-2018_14:41:16 Prac 7302 22 female R 1 1 18 immoralOther immoralOther match m m 1 0.6420 
02-May-2018_14:41:18 Prac 7302 22 female R 1 1 19 immoralSelf immoralSelf match m n 0 0.8041 
02-May-2018_14:41:20 Prac 7302 22 female R 1 1 20 moralSelf immoralOther mismatch n n 1 0.8461 
02-May-2018_14:41:22 Prac 7302 22 female R 1 1 21 moralSelf immoralSelf mismatch n m 0 0.6162 
02-May-2018_14:41:24 Prac 7302 22 female R 1 1 22 moralSelf moralSelf match m m 1 0.6564 
02-May-2018_14:41:26 Prac 7302 22 female R 1 1 23 moralOther moralSelf mismatch n n 1 0.5925 
02-May-2018_14:41:28 Prac 7302 22 female R 1 1 24 moralOther moralOther match m m 1 0.5166 
